gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,1,3,2,skipconcat,69,True,0.7101,0.0281,771.0,0.7493,0.0031,0.7303,0.0832,0.6766,0.1066,0.8616,0.105,0.7435,0.0379,0.8729,0.0049
0.0,1,3,2,skipconcat,294,True,0.6493,0.0482,771.0,0.7423,0.0017,0.7978,0.0082,0.7628,0.0208,0.7902,0.0451,0.775,0.0149,0.872,0.0036
0.0,1,3,2,skipsum,70,True,0.6277,0.0774,471.0,0.7849,0.063,0.8311,0.0075,0.8264,0.0157,0.7831,0.0339,0.8035,0.0131,0.9016,0.0043
0.0,1,3,2,skipsum,70,True,0.6366,0.0687,471.0,0.7855,0.0603,0.8316,0.0077,0.8305,0.0099,0.778,0.0285,0.803,0.0127,0.8999,0.0038
0.0,1,3,2,skipsum,70,True,0.7034,0.0403,471.0,0.7388,0.0019,0.8034,0.0193,0.7918,0.0712,0.778,0.0826,0.7774,0.0072,0.897,0.0065
0.0,1,3,2,stack,77,True,0.7369,0.0313,471.0,0.7415,0.0072,0.6438,0.0675,0.4099,0.2931,0.5667,0.4109,0.4702,0.3325,0.8327,0.0247
0.0,1,3,2,stack,120,True,0.7286,0.043,471.0,0.7339,0.0026,0.6497,0.0745,0.4175,0.2999,0.5686,0.4117,0.4753,0.3361,0.8419,0.0118
0.0,1,3,2,stack,120,True,0.7286,0.043,471.0,0.7391,0.0006,0.6497,0.0745,0.4175,0.2999,0.5686,0.4117,0.4753,0.3361,0.8419,0.0118
0.0,2,1,1,skipconcat,3,True,0.771,0.0224,251.0,0.3286,0.0043,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.8817,0.0005
0.0,2,1,1,skipconcat,3,True,0.771,0.0224,251.0,0.3276,0.0015,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.8817,0.0005
