protein.Accession,protein_probability,protein_probability_soft_label,gene_symbol,mRNA_TPM,hard_label
Q96NX5,0.148769548,0.316757532,CAMK1G,0.085282531,
Q96NX9,0.978024267,0.302500317,DACH2,0,
Q96NY9,0.366987051,0.383212904,MUS81,3.986140848,
Q96NZ8,0.133237703,0.115734427,WFIKKN1,3.004125792,0
Q96NZ9,0.408213741,0.209648396,PRAP1,1.019536575,0
Q96P09,0.167675957,0.064310781,BIRC8,0,0
Q96P11,0.351273454,0.519098635,NSUN5,4.593761637,
Q96P16,0.99932997,0.980612874,RPRD1A,2.567442035,1
Q96P20,0.207529722,0.30200229,NLRP3,3.455449672,
Q96P44,0.581430469,0.584373993,COL21A1,0,
Q96P48,0.979612006,0.854897663,ARAP1,2.489440299,1
Q96P50,0.194310583,0.475152822,ACAP3,4.606296779,
Q96P56,0.493401998,0.233388081,CATSPER2,1.520486616,0
Q96P64,0.154587534,0.632569234,AGAP4,1.37056522,
Q96P70,0.155181557,0.887012208,IPO9,3.404774055,1
Q96PB1,0.156938719,0.341577906,CASD1,1.458646613,
Q96PB7,0.846524701,0.400010177,OLFM3,0,
Q96PC5,0.891389044,0.99997967,MIA2,1.691264574,1
Q96PD7,0.129812461,0.333355072,DGAT2,1.165980258,
Q96PE1,0.153934661,0.31119972,ADGRA2,0.299409765,
Q96PE2,0.2643661,0.401366406,ARHGEF17,0.516984933,
Q96PE5,0.500533171,0.357180484,OPALIN,0,
Q96PE7,0.219845214,0.571323803,MCEE,1.82247426,
Q96PF1,0.187181503,0.279964274,TGM7,0,0
Q96PF2,0.345396388,0.045902198,TSSK2,0.824112801,0
Q96PH1,0.188765295,0.290338866,NOX5,0.325598902,0
Q96PH6,0.265807578,0.034627303,DEFB118,0,0
Q96PK6,0.999999978,0.99999208,RBM14,4.208691223,1
Q96PL1,0.850803209,0,SCGB3A2,0,0
Q96PL2,0.695971439,0.185377189,TECTB,0,0
Q96PL5,0.129863756,0.219829759,ERMAP,1.901583791,0
Q96PM9,0.471066557,0.528850695,ZNF385A,3.921367419,
Q96PN6,0.75024268,0.537342563,ADCY10,0.050062117,
Q96PP4,0.343244802,0.203483355,TSGA13,0,0
Q96PP8,0.98210486,0.670239292,GBP5,2.006332804,
Q96PQ1,0.321535212,0.305249299,SIGLEC12,0.492398835,
Q96PQ7,0.309950814,0.56766595,KLHL5,0.975535006,
Q96PR1,0.285863543,0.355107325,KCNC2,0,
Q96PS1,0.319886218,0.115770023,FANCD2OS,0.03677334,0
Q96PU4,0.327907641,0.520428545,UHRF2,1.595194865,
Q96PU5,0.638488615,0.727072342,NEDD4L,2.099550064,1
Q96PU8,0.999999522,0.973329189,QKI,1.485868867,1
Q96PV0,0.397052845,0.437859676,SYNGAP1,0.155322723,
Q96PV4,0.17259563,0.235147311,PNMA5,1.429803145,0
Q96PV6,0.305262074,0.611549488,LENG8,0.813287838,
Q96PX1,0.340690607,0.271204533,RNF157,1.245261243,0
Q96PX6,0.34744748,0.235667315,CCDC85A,0,0
Q96PX9,0.246817106,0.587255785,PLEKHG4B,0.013662185,
Q96PY5,0.217594489,0.712599273,FMNL2,1.048190898,1
Q96PY6,0.37016802,0.538669605,NEK1,0.297239766,
Q96PZ0,0.508896114,0.4476326,PUS7,2.045132994,
Q96PZ7,0.176887504,0.43150127,CSMD1,0.010235663,
Q96Q04,0.130013093,0.629235778,LMTK3,2.951829012,
Q96Q05,0.401913608,0.606363366,TRAPPC9,0.565465646,
Q96Q06,0.478230102,0.345510742,PLIN4,0.885551988,
Q96Q07,0.726328589,0.491961111,BTBD9,0.354158825,
Q96Q15,0.237733458,0.647352238,SMG1,3.100690404,
Q96Q35,0.866890361,0.572322338,FLACC1,0.061333266,
Q96Q40,0.160762965,0.744732368,CDK15,0.003195476,1
Q96Q42,0.297960474,0.57587942,ALS2,1.349666735,
Q96Q89,0.333930038,0.636873643,KIF20B,1.706130503,
Q96QB1,0.88753744,0.689995112,DLC1,0.083524163,
Q96QD5,0.396104916,0.188649044,DEPDC7,1.473005149,0
Q96QD9,0.233249607,0.25265124,FYTTD1,2.841289607,0
Q96QE3,0.300504005,0.306758588,ATAD5,1.94368989,
Q96QE4,0.133602447,0.396078371,LRRC37B,1.219268774,
Q96QF0,0.673494754,0.505714762,RAB3IP,1.634592159,
Q96QF7,0.218742116,0.11008517,GCNA,0.755773314,0
Q96QG7,0.55693501,0.474567593,MTMR9,1.521367987,
Q96QH2,0.981039018,0.530621847,PRAM1,2.624868721,
Q96QI5,0.147188261,0.181880924,HS3ST6,0,0
Q96QK1,0.97904565,0.999997161,VPS35,4.136208013,1
Q96QP1,0.303722554,0.400596195,ALPK1,1.139697076,
Q96QS6,0.84708931,0.185900393,PSKH2,0,0
Q96QT4,0.228649363,0.431057262,TRPM7,1.586926914,
Q96QT6,0.23165491,0.582291519,PHF12,2.861721464,
Q96QU1,0.360272191,0.553071684,PCDH15,0,
Q96QU6,0.21330915,0.352495882,ACCS,3.20433174,
Q96QU8,0.220692208,0.644592199,XPO6,3.317940474,
Q96QV1,0.215569988,0.373874599,HHIP,0.003387752,
Q96QV6,0.999992972,0.999996683,H2AC1,0,1
Q96R05,0.994512918,0,RBP7,0.657301497,0
Q96R06,0.575447133,0.923959591,SPAG5,4.058336903,1
Q96R27,0.503208197,0,OR2M4,0.025045399,0
Q96RD6,0.151830627,0.355562435,PANX2,0.863544103,
Q96RD9,0.134933889,0.437966672,FCRL5,0.165913551,
Q96RG2,0.418835067,0.608897734,PASK,2.905806246,
Q96RI1,0.327412758,0.234946439,NR1H4,0.003701237,0
Q96RI8,0.166734118,0.11386323,TAAR6,0,0
Q96RK0,0.163840457,0.635640576,CIC,4.862576159,
Q96RK4,0.252581848,0.422533852,BBS4,1.096541184,
Q96RL1,0.538168513,0.600180355,UIMC1,1.459887671,
Q96RL7,0.297567166,0.51304515,VPS13A,2.028016726,
Q96RN1,0.298203484,0.525223416,SLC26A8,0.004125935,
Q96RP7,0.460402414,0.372040989,GAL3ST4,1.682302175,
Q96RP9,0.129838548,0.890165226,GFM1,2.201374276,1
Q96RQ3,0.302446874,0.754410114,MCCC1,1.916829153,1
Q96RQ9,0.855819083,0.770000865,IL4I1,1.981996348,1
Q96RR1,0.158490859,0.696268655,TWNK,3.831390737,
Q96RR4,0.457038768,0.501808164,CAMKK2,2.403580285,
Q96RT1,0.540943062,0.899158047,ERBIN,1.573523423,1
Q96RT6,0.396295148,0.974935881,CTAGE1,0,1
Q96RT7,0.56222955,0.428109972,TUBGCP6,4.706041786,
Q96RT8,0.696847125,0.643250571,TUBGCP5,0.732268209,
Q96RU2,0.709825837,0.654119725,USP28,1.456277418,
Q96RU3,0.99647419,0.609360927,FNBP1,0.81402365,
Q96RV3,0.585990286,0.565012366,PCNX1,1.092836621,
Q96RW7,0.80678817,0.667670444,HMCN1,0.002942468,
Q96RY5,0.968640939,0.455477121,CRAMP1,2.03173581,
Q96RY7,0.202562846,0.483513485,IFT140,1.682903442,
Q96S15,0.207237587,0.560517603,WDR24,3.944794605,
Q96S16,0.201825142,0.025778784,JMJD8,6.226982847,0
Q96S21,0.750535118,0.199729897,RAB40C,3.001708535,0
Q96S38,0.377162028,0.645999068,RPS6KC1,0.498035913,
Q96S42,0.175341415,0.251497367,NODAL,0,0
Q96S52,0.130142232,0.999960258,PIGS,3.656957704,1
Q96S53,0.197005205,0.201185804,TESK2,0.376203981,0
Q96S55,0.612936911,0.686399234,WRNIP1,3.573319439,
Q96S59,0.143663473,0.587790535,RANBP9,1.887032559,
Q96S65,0.656683839,0.156032286,CSRNP1,5.581647074,0
Q96S97,0.96824067,0.776792739,MYADM,5.930250559,1
Q96SB3,0.573170509,0.598277247,PPP1R9B,4.519803098,
Q96SB8,0.266597317,0.368901543,SMC6,2.087310729,
Q96SE7,0.172154858,0.451372044,ZNF347,0.167692094,
Q96SF7,0.490124257,0.435520116,TBX15,0.118951642,
Q96SI1,0.786297347,0.118052429,KCTD15,0.547742337,0
Q96SI9,0.986280378,0.867369533,STRBP,1.522493866,1
Q96SJ8,0.166504002,0.19366317,TSPAN18,0.028971727,0
Q96SK2,0.175172688,0.868827544,TMEM209,2.242937529,1
Q96SM3,0.446394685,0.260268291,CPXM1,1.953962988,0
Q96SN8,0.632576898,0.62830263,CDK5RAP2,2.033291856,
Q96SQ5,0.130004093,0.442580444,ZNF587,4.614597935,
Q96SQ7,0.130481931,0.08498289,ATOH8,0.338771462,0
Q96SQ9,0.342837668,0.999892749,CYP2S1,4.918290292,1
Q96SR6,0.410048179,0.250184997,ZNF382,0.252325139,0
Q96ST2,0.458417575,0.938124087,IWS1,1.798536719,1
Q96ST3,0.91315867,0.943252719,SIN3A,2.429003275,1
Q96ST8,0.225725344,0.444755816,CEP89,1.662972535,
Q96SU4,0.673849184,0.892931126,OSBPL9,1.446259461,1
Q96SW2,0.699849885,0.566494705,CRBN,1.841956194,
Q96SZ4,0.186718633,0.63223669,ZSCAN10,0,
Q96SZ5,0.217766104,0.672178792,ADO,4.397671703,
Q96T17,0.371507341,0.297639505,MAP7D2,0.112471325,0
Q96T21,0.14091671,0.448343844,SECISBP2,3.240158737,
Q96T23,0.274403885,0.659737796,RSF1,1.82254553,
Q96T37,0.864530002,0.959440786,RBM15,3.964940384,1
Q96T51,0.993846351,0.929749587,RUFY1,1.942951026,1
Q96T52,0.134572066,0.175479366,IMMP2L,0.135098383,0
Q96T58,0.526549594,0.639923431,SPEN,3.478482881,
Q96T59,0.924180196,0.186745019,CDRT15,0,0
Q96T60,0.999983165,0.85657819,PNKP,4.558352575,1
Q96T68,0.367742299,0.331581101,SETDB2,1.282513774,
Q96T76,0.738715987,0.999831107,MMS19,2.759604356,1
Q96T83,0.147783101,0.329533518,SLC9A7,1.963538779,
Q96T88,0.326617648,0.669693104,UHRF1,3.005067977,
Q96TA1,0.984289031,0.999745828,NIBAN2,4.615479303,1
Q96TA2,0.216594178,0.870995692,YME1L1,3.505932726,1
Q96TC7,0.14933641,0.91111311,RMDN3,3.509863335,1
Q99081,0.48745605,0.817585139,TCF12,1.08363052,1
Q99102,0.77774894,0.756824885,MUC4,0.088784383,1
Q99250,0.504841424,0.739862899,SCN2A,0.016902343,1
Q99417,0.999996698,0.998943356,MYCBP,3.727572983,1
Q99418,0.311112225,0.59565256,CYTH2,5.001716024,
Q99426,0.999060888,0.996123844,TBCB,4.759052203,1
Q99436,0.986112858,0.763944674,PSMB7,3.248073208,1
Q99439,0.999999909,0.999781247,CNN2,5.118905041,1
Q99456,0.999915349,0.692717799,KRT12,0,
Q99457,0.16575206,0.099881725,NAP1L3,0.701190977,0
Q99459,0.999814234,0.999524803,CDC5L,2.355718123,1
Q99460,0.999943299,0.999976581,PSMD1,2.720958088,1
Q99466,0.424262334,0.504749732,NOTCH4,0.022757581,
Q99467,0.145601512,0.708173009,CD180,1.679770257,1
Q99469,0.272909673,0.654444167,STAC,0,
Q99470,0.988575663,0.998601787,SDF2,3.465078192,1
Q99471,0.999999988,0.999943742,PFDN5,6.315228346,1
Q99490,0.160516322,0.44976181,AGAP2,1.518487829,
Q99497,1,0.999999352,PARK7,3.890819317,1
Q99501,0.463848506,0.334145595,GAS2L1,4.09058349,
Q99502,0.284740019,0.371454096,EYA1,0.003403763,
Q99504,0.172339654,0.302149688,EYA3,1.2386506,
Q99518,0.133839032,0.212646181,FMO2,0,0
Q99523,0.699847763,0.73223985,SORT1,1.692182544,1
Q99527,0.542576766,0.073240458,GPER1,0.96422808,0
Q99536,0.999999891,0.999999995,VAT1,3.941021663,1
Q99541,0.884147656,0.947357072,PLIN2,4.325157565,1
Q99542,0.859202271,0.575804454,MMP19,4.334403652,
Q99543,0.216951447,0.769461053,DNAJC2,4.41016397,1
Q99550,0.439002627,0.432654956,MPHOSPH9,1.253240501,
Q99567,0.980625493,0.951492458,NUP88,2.34623089,1
Q99569,0.581366736,0.692644394,PKP4,1.871710482,
Q99570,0.142641374,0.714448473,PIK3R4,1.711595802,1
Q99574,0.300119525,0.466542414,SERPINI1,0.186316251,
Q99575,0.171144592,0.360149745,POP1,1.986963271,
Q99578,0.444996458,0.341827369,RIT2,0,
Q99592,0.68430706,0.672203862,ZBTB18,3.618329389,
Q99593,0.704215085,0.392108244,TBX5,0,
Q99595,0.657479268,0.662116215,TIMM17A,4.255691279,
Q99598,0.948679763,0.988791788,TSNAX,1.632697444,1
Q99613,0.985383234,0.998898802,EIF3C,1.173069892,1
Q99614,0.798237796,0.890841244,TTC1,2.242422286,1
Q99615,0.999974352,0.918461689,DNAJC7,3.454364198,1
Q99618,0.175311134,0.086450826,CDCA3,4.697117887,0
Q99619,0.316284748,0.343134459,SPSB2,2.170101521,
Q99623,0.999999948,1,PHB2,6.284633433,1
Q99626,0.237986738,0.175492229,CDX2,3.767196219,0
Q99627,0.999240376,0.998587545,COPS8,3.401864653,1
Q99633,0.921344189,0.081530348,PRPF18,0.630726815,0
Q99650,0.142355537,0.464627462,OSMR,2.673868954,
Q99653,0.999649128,0.856928271,CHP1,3.811341142,1
Q99665,0.2128293,0.617142467,IL12RB2,0.057235176,
Q99666,0.928411929,0.966956725,RGPD5; RGPD6,0,1
Q99674,0.634533076,0.308860607,CGREF1,3.297988916,
Q99676,0.309637878,0.284033922,ZNF184,1.225291662,0
Q99678,0.337969208,0.444414174,GPR20,0,
Q99679,0.140589017,0.029100705,GPR21,0,0
Q99683,0.384875506,0.474239972,MAP3K5,0.986858743,
Q99684,0.463593789,0.337764675,GFI1,0.804544146,
Q99685,0.994313398,0.989481181,MGLL,1.390943832,1
Q99698,0.85469776,0.760252317,LYST,0.772207588,1
Q99700,0.935462075,0.698902834,ATXN2,1.761563276,
Q99707,0.867700156,0.760369217,MTR,1.843199761,1
Q99714,0.9999998,1,HSD17B10,6.031793736,1
Q99715,0.900064863,0.544389372,COL12A1,0.074394436,
Q99729,0.999983868,0.999988896,HNRNPAB,6.405736691,1
Q99733,0.99999995,0.999977436,NAP1L4,0.027673959,1
Q99741,0.163919523,0.181609474,CDC6,3.99239229,0
Q99743,0.182764608,0.434960993,NPAS2,2.024856301,
Q99747,0.979539335,0.926169516,NAPG,3.102385857,1
Q99758,0.753530815,0.430357755,ABCA3,0.246866211,
Q99759,0.997850642,0.494906387,MAP3K3,1.763739264,
Q99798,0.999700115,0.999999934,ACO2,3.328838145,1
Q99801,0.18143585,0.381292297,NKX3-1,0.668700535,
Q99805,0.514940396,0.770697527,TM9SF2,3.004140136,1
Q99816,0.794575258,0.999861608,TSG101,2.179757706,1
Q99829,0.987487918,0.999959161,CPNE1,3.7548272,1
Q99832,0.999983119,0.999999958,CCT7,5.13845155,1
Q99835,0.1717795,0.428192612,SMO,0.126644841,
Q99848,0.466492497,0.47172528,EBNA1BP2,2.682783529,
Q99856,0.40289543,0.531411951,ARID3A,1.501180847,
Q99871,0.4175075,0.674312006,HAUS7,1.654745028,
Q99873,0.988131766,0.984651072,PRMT1,5.340923253,1
Q99877,0.999999677,0.999999909,H2BC15,1.936956004,1
Q99878,0.999992972,0.999999999,H2AC14,3.221884337,1
Q99879,0.999999677,0.999999909,H2BC14,3.209533254,1
Q99880,0.999999677,0.999999909,H2BC13,3.01716844,1
Q99895,0.647067388,0.247653162,CTRC,0.836387431,0
Q99932,0.14336951,0.332648946,SPAG8,1.372227304,
Q99941,0.291626454,0.350955826,ATF6B,0.050492935,
Q99943,0.54184038,0.877230447,AGPAT1,1.350270358,1
Q99944,0.269023307,0.318060251,EGFL8,0,
Q99952,0.81705562,0.620300512,PTPN18,4.090276166,
Q99956,0.174838119,0.405738534,DUSP9,0.073388157,
Q99959,0.259004886,0.657608621,PKP2,2.67418674,
Q99961,0.999140504,0.893963193,SH3GL1,3.645770946,1
Q99962,0.478763084,0.592896683,SH3GL2,0,
Q99972,0.612437111,0.382601674,MYOC,0,
Q99973,0.844825673,0.864018923,TEP1,3.11487268,1
Q99983,0.311454242,0,OMD,0,0
Q99988,0.139183632,0.220340318,GDF15,4.366244963,0
Q99996,0.427043788,0.799051167,AKAP9,2.910965147,1
Q99999,0.13053362,0.121999338,GAL3ST1,2.016947388,0
Q9BPU6,0.191577437,0.474885458,DPYSL5,0.006534807,
Q9BPW4,0.299542908,0.577867508,APOL4,1.487099647,
Q9BPW8,0.997550533,0.999401441,NIPSNAP1,3.494577299,1
Q9BPX3,0.271877148,0.774909867,NCAPG,2.592832112,1
Q9BPX5,0.999886235,0.966641627,ARPC5L,4.705860192,1
Q9BPX6,0.155568521,0.54687804,MICU1,1.084724116,
Q9BPY8,0.971999939,0.396280163,HOPX,0.103552094,
Q9BPZ7,0.648092429,0.498312616,MAPKAP1,1.63258063,
Q9BQ04,0.961882293,0.931362163,RBM4B,2.591009067,1
Q9BQ39,0.992034551,0.9342359,DDX50,2.039711862,1
Q9BQ50,0.236813294,0.115890224,TREX2,0.799124473,0
Q9BQ52,0.252897414,0.800534993,ELAC2,3.57583144,1
Q9BQ65,0.452502414,0.066064424,USB1,3.669534985,0
Q9BQ67,0.877575356,0.896784946,GRWD1,4.897558356,1
Q9BQ70,0.505510914,0.807664701,TCF25,4.093704391,1
Q9BQ87,0.243933034,0.616110104,TBL1Y,0,
Q9BQ89,0.6916298,0.257022207,FAM110A,2.726312714,0
Q9BQA1,0.993850957,0.63646469,WDR77,4.428573343,
Q9BQB6,0.999262077,0.999999396,VKORC1,4.056227439,1
Q9BQC3,0.258450623,0.522996622,DPH2,5.603060204,
Q9BQD3,0.975213589,0.253703576,KXD1,4.413902447,0
Q9BQE3,1,1,TUBA1C,4.144772907,1
Q9BQE5,0.990194572,0.84757546,APOL2,5.084061286,1
Q9BQG2,0.305982576,0.439977559,NUDT12,2.65174077,
Q9BQI5,0.396447684,0.492951033,SGIP1,0.013798384,
Q9BQI6,0.155310237,0.388725003,SLF1,1.193223999,
Q9BQI7,0.184041586,0.394580312,PSD2,0.211090105,
Q9BQL6,0.305041217,0.730291216,FERMT1,3.657899071,1
Q9BQN1,0.137285822,0.246268774,FAM83C,1.0679285,0
Q9BQP9,0.558335382,0.134280222,BPIFA3,0,0
Q9BQQ3,0.320958545,0.534670473,GORASP1,4.277651796,
Q9BQR3,0.132440416,0.101609787,PRSS27,1.534661601,0
Q9BQS8,0.836500107,0.733751551,FYCO1,1.926600877,1
Q9BQW3,0.216310909,0.213943494,EBF4,0.194589769,0
Q9BR76,0.997925375,0.999619843,CORO1B,5.446052154,1
Q9BR84,0.434071943,0.339123091,ZNF559,1.018235448,
Q9BRA2,0.999979706,0.989052187,TXNDC17,5.455977118,1
Q9BRB3,0.833134659,0.238148617,PIGQ,3.50997967,0
Q9BRC7,0.557497498,0.470650685,PLCD4,0.087776791,
Q9BRF8,0.999968011,0.8497151,CPPED1,1.396065296,1
Q9BRG1,0.973293174,0.710858867,VPS25,4.711342272,1
Q9BRH9,0.363937363,0.265600394,ZNF251,0,0
Q9BRJ6,0.258613822,0.762022457,C7orf50,2.008801012,1
Q9BRJ9,0.25024017,0.372628505,MESP1,2.564556093,
Q9BRK3,0.48158239,0.24073732,MXRA8,1.687173578,0
Q9BRK5,0.99460949,0.937135994,SDF4,5.016375534,1
Q9BRL6,0.999996576,0.624793078,SRSF8,5.044658831,
Q9BRP4,0.147137734,0.479989162,PAAF1,1.262505469,
Q9BRP7,0.198427341,0.509135652,FDXACB1,0.970011579,
Q9BRP8,0.998897437,0.999786225,PYM1,2.673791165,1
Q9BRQ0,0.970897808,0.783749567,PYGO2,4.354236585,1
Q9BRQ4,0.950574695,0.643459402,CFAP300,0.550433766,
Q9BRR0,0.13904074,0.413287482,ZKSCAN3,0.466772794,
Q9BRR6,0.999995849,0.999997454,ADPGK,3.657392092,1
Q9BRR8,0.211279627,0.390462564,GPATCH1,2.440728062,
Q9BRR9,0.931737721,0.585452968,ARHGAP9,2.456987249,
Q9BRT6,0.99536256,0.492743448,LLPH,3.823395378,
Q9BRU9,0.925787578,0.318529242,UTP23,1.73101177,
Q9BRV8,0.999667774,0.897325227,SIKE1,3.597519737,1
Q9BRX8,0.879675914,0.998067366,PRXL2A,3.130708825,1
Q9BRZ2,0.217584894,0.689384172,TRIM56,5.184402617,
Q9BS26,0.999999048,0.999988881,ERP44,2.365016308,1
Q9BS92,0.999835494,0.937913499,NIPSNAP3B,0.159287567,1
Q9BSA9,0.358596522,0.600590552,TMEM175,2.044081666,
Q9BSB4,0.422578365,0.262634787,ATG101,4.27536462,0
Q9BSC4,0.598043007,0.387231057,NOL10,2.409589695,
Q9BSE2,0.248054756,0.295706149,TMEM79,2.602855915,0
Q9BSF0,0.953478102,0.103521186,C2orf88,0.131202326,0
Q9BSF8,0.199523638,0.476808728,BTBD10,1.707752052,
Q9BSH4,0.994291271,0.665791216,TACO1,3.783515827,
Q9BSJ2,0.291650932,0.924698941,TUBGCP2,3.609237723,1
Q9BSJ5,0.29021335,0.266959309,C17orf80,1.933274163,0
Q9BSJ6,0.354318106,0.205949824,PIMREG,2.497405602,0
Q9BSJ8,0.999844907,0.999976247,ESYT1,4.026736892,1
Q9BSK1,0.994673236,0.486565445,ZNF577,0.856543952,
Q9BSK4,0.137202895,0.20891022,FEM1A,4.21265905,0
Q9BSM1,0.217661096,0.164684567,PCGF1,4.659967679,0
Q9BSQ5,0.97567722,0.443356236,CCM2,2.173003015,
Q9BST9,0.312881774,0.475641835,RTKN,4.415941819,
Q9BSU1,0.832105528,0.401184846,PHAF1,2.5237243,
Q9BSU3,0.752397104,0.780601902,NAA11,0.013315616,1
Q9BSV6,0.585997461,0.480898911,TSEN34,0.07059881,
Q9BSW2,0.783870227,0.500469169,CRACR2A,0.521563522,
Q9BSW7,0.212649901,0.43203107,SYT17,0.673883884,
Q9BT09,0.993440395,0.997100292,CNPY3,4.849446545,1
Q9BT22,0.595178651,0.989260229,ALG1,2.50020752,1
Q9BT23,0.983041266,0,LIMD2,4.07518328,0
Q9BT25,0.945654748,0.306497653,HAUS8,1.880840648,
Q9BT40,0.174084228,0.894282011,INPP5K,2.302442764,1
Q9BT78,0.999802035,0.999965001,COPS4,1.677013018,1
Q9BT92,0.135439896,0.327247258,TCHP,1.926222856,
Q9BTA9,0.28106529,0.791151651,WAC,2.638399442,1
Q9BTC0,0.711551444,0.682232283,DIDO1,3.711533292,
Q9BTC8,0.967035784,0.654684196,MTA3,1.174233207,
Q9BTD8,0.298617759,0.703410335,RBM42,5.203344286,1
Q9BTE3,0.259421224,0.902343048,MCMBP,2.703558198,1
Q9BTE6,0.80667341,0.699487266,AARSD1,2.63901179,
Q9BTF0,0.551111672,0.228557799,THUMPD2,2.34440566,0
Q9BTK6,0.633536441,0.438689809,PAGR1,3.170649049,
Q9BTM1,0.999992972,0.999999999,H2AJ,6.083622232,1
Q9BTN0,0.192342023,0.15035383,LRFN3,3.078204594,0
Q9BTT0,0.999999478,0.998862105,ANP32E,3.697906553,1
Q9BTT6,0.667111716,0.989415648,LRRC1,1.572650746,1
Q9BTU6,0.598836219,0.999871523,PI4K2A,2.029676763,1
Q9BTV4,0.999700257,0.999996432,TMEM43,4.082529183,1
Q9BTV5,0.733030331,0.36200538,FSD1,0.204736848,
Q9BTV7,0.398595845,0.174002482,CABLES2,2.239183921,0
Q9BTX1,0.647548796,0.926978691,NDC1,2.802130882,1
Q9BTY2,0.274233677,0.972595764,FUCA2,4.817203093,1
Q9BTY7,0.848728205,0.997010198,HGH1,4.785076477,1
Q9BU02,0.9754142,0.500213503,THTPA,2.939424949,
Q9BU19,0.348203318,0.352585482,ZNF692,4.147540931,
Q9BU64,0.508427906,0.304338977,CENPO,3.095936204,
Q9BU76,0.164126226,0.188930111,MMTAG2,0,0
Q9BU89,0.925739476,0.480873168,DOHH,3.284841407,
Q9BUA6,0.993822338,0.461669783,MYL10,0,
Q9BUB4,0.140978336,0.49932016,ADAT1,3.029434524,
Q9BUB5,0.146816727,0.361888509,MKNK1,2.261343588,
Q9BUF5,0.999999999,0.999999969,TUBB6,2.705261447,1
Q9BUH6,0.971073743,0.713721439,PAXX,6.453180944,1
Q9BUH8,0.681363041,0.352308022,BEGAIN,0.551576642,
Q9BUI4,0.429648703,0.366092201,POLR3C,2.893578764,
Q9BUJ0,0.161955472,0.294829196,ABHD14A,2.341654089,0
Q9BUJ2,0.999979156,0.999777542,HNRNPUL1,4.95129475,1
Q9BUL8,0.999999722,0.999996177,PDCD10,2.593388614,1
Q9BUN1,0.939070235,0.387634569,MENT,0,
Q9BUN8,0.973105229,0.999716405,DERL1,3.458128376,1
Q9BUP0,0.999989042,0.983764772,EFHD1,0.008730052,1
Q9BUP3,0.850405652,0.693027332,HTATIP2,3.469766662,
Q9BUQ8,0.999004497,0.957224888,DDX23,4.562743073,1
Q9BUR4,0.739515557,0.538130461,WRAP53,2.260373192,
Q9BUW7,0.976652675,0,BBLN,5.900946118,0
Q9BV19,0.70585058,0.418335888,C1orf50,0.74128614,
Q9BV23,0.420517624,0.776421836,ABHD6,1.420739775,1
Q9BV35,0.398921161,0.215569046,SLC25A23,2.381068781,0
Q9BV36,0.457523132,0.714613474,MLPH,3.558324229,1
Q9BV40,0.999999971,0.999997877,VAMP8,4.161963421,1
Q9BV44,0.258823687,0.585651186,THUMPD3,2.932659685,
Q9BV57,0.967323264,0.99533537,ADI1,3.127688588,1
Q9BV68,0.975223668,0.587099887,RNF126,4.545116728,
Q9BV73,0.77709677,0.792552216,CEP250,3.165876834,1
Q9BV79,0.187952196,0.372564759,MECR,1.720253395,
Q9BV94,0.265309445,0.531317757,EDEM2,3.075529248,
Q9BV97,0.300494791,0.441440529,ZNF747,3.252485365,
Q9BVA1,1,1,TUBB2B,1.212163351,1
Q9BVC6,0.975231283,0.989674926,TMEM109,4.135319568,1
Q9BVG4,0.999974294,0.9114208,PBDC1,4.770905972,1
Q9BVG8,0.476458711,0.450449655,KIFC3,2.136406234,
Q9BVG9,0.156917147,0.852768002,PTDSS2,0.734268597,1
Q9BVI0,0.793263404,0.416955391,PHF20,1.357032995,
Q9BVJ6,0.79443323,0.958843507,UTP14A,3.736085883,1
Q9BVK6,0.999999994,0.999999929,TMED9,6.280623339,1
Q9BVL2,0.95338291,0.996626933,NUP58,2.53134238,1
Q9BVL4,0.140023484,0.527412309,SELENOO,4.131537517,
Q9BVN2,0.844562362,0.873789079,RUSC1,4.398574054,1
Q9BVQ7,0.875875782,0.564712131,AFG2B,0,
Q9BVR0,0.231089534,0.668060331,HERC2P3,0.308817358,
Q9BVS4,0.433497157,0.248670793,RIOK2,2.404180351,0
Q9BVS5,0.613541141,0.469351277,TRMT61B,2.80320378,
Q9BVV6,0.931075797,0.767394753,KIAA0586,0.817534759,1
Q9BVV7,0.309284931,0.308696414,TIMM21,3.753054603,
Q9BVX2,0.988211688,0.508394029,TMEM106C,5.279748167,
Q9BW04,0.155908534,0.816883757,SARG,0,1
Q9BW19,0.261111584,0.754726184,KIFC1,0,1
Q9BW27,0.96601923,0.999998332,NUP85,3.637568807,1
Q9BW30,0.254120862,0.346971353,TPPP3,6.197849272,
Q9BW60,0.551291454,0.999897299,ELOVL1,5.887314742,1
Q9BW62,0.993761118,0.57304203,KATNAL1,0.080056709,
Q9BW71,0.567356848,0.335829007,HIRIP3,4.495114479,
Q9BW83,0.971394318,0.83717132,IFT27,2.755973297,1
Q9BWD1,0.967985277,0.893154859,ACAT2,2.581624767,1
Q9BWE0,0.286905954,0.074515314,REPIN1,6.276485861,0
Q9BWF3,0.989769028,0.999775934,RBM4,2.048893494,1
Q9BWM7,0.999203816,0.999776434,SFXN3,4.209379197,1
Q9BWT3,0.497844215,0.616139542,PAPOLG,1.539427885,
Q9BWT7,0.844906667,0.36884956,CARD10,3.967395077,
Q9BWU0,0.485009273,0.808199077,SLC4A1AP,3.113667647,1
