protein.Accession,protein_probability,protein_probability_soft_label,gene_symbol,mRNA_TPM,hard_label
O15530,0.540974241,0.639732168,PDPK1,2.400356391,
O15533,0.999543197,0.999988416,TAPBP,0.109093027,1
O15534,0.360229675,0.551862816,PER1,4.97808754,
O15539,0.950778079,0.348625703,RGS5,0.453088642,
O15541,0.635548136,0.539110102,RNF113A,5.596329012,
O15547,0.754202565,0.403074,P2RX6,0,
O15550,0.825774277,0.686239292,KDM6A,1.227648526,
O15551,0.947769683,0.643578587,CLDN3,5.209729582,
O15553,0.161830286,0.44679352,MEFV,0.525224838,
O43143,0.999537861,0.999277863,DHX15,3.758926741,1
O43149,0.289031625,0.896004649,ZZEF1,2.066244946,1
O43150,0.522056125,0.393452499,ASAP2,2.380203694,
O43151,0.635281898,0.482609754,TET3,2.460663023,
O43155,0.372486887,0.242822056,FLRT2,0.131665086,0
O43159,0.381862049,0.54774462,RRP8,3.431353389,
O43164,0.342496012,0.548865493,PJA2,1.8567826,
O43166,0.44576969,0.565057626,SIPA1L1,1.30165991,
O43169,0.99999998,0.999999999,CYB5B,3.089237171,1
O43172,0.261775757,0.915395345,PRPF4,3.454902308,1
O43175,0.227083379,0.964793489,PHGDH,1.569774197,1
O43182,0.333316993,0.460164506,ARHGAP6,0.584694877,
O43184,0.231057176,0.208619003,ADAM12,0.029085132,0
O43187,0.556217058,0.317037129,IRAK2,1.096164248,
O43189,0.734339538,0.590537781,PHF1,0.287691835,
O43196,0.216388609,0.723831007,MSH5,0,1
O43236,0.208447175,0.598233449,SEPTIN4,0.105770688,
O43237,0.998728803,0.999994395,DYNC1LI2,4.599798129,1
O43240,0.192491556,0.189951756,KLK10,4.76697708,0
O43242,0.999644917,0.999964424,PSMD3,5.072693708,1
O43252,0.917239875,0.839308304,PAPSS1,1.285530476,1
O43264,0.366411895,0.986203599,ZW10,2.039372655,1
O43278,0.7238753,0.911974071,SPINT1,5.372319903,1
O43283,0.501430314,0.525084034,MAP3K13,1.859921501,
O43286,0.133294215,0.405755719,B4GALT5,2.767025574,
O43290,0.992981061,0.995146057,SART1,4.406203855,1
O43292,0.546032427,0.999621091,GPAA1,4.650064442,1
O43294,0.154684855,0.656003264,TGFB1I1,2.375895272,
O43295,0.413122262,0.450679442,SRGAP3,0.023466947,
O43296,0.438156881,0.273523445,ZNF264,2.24657942,0
O43299,0.136569575,0.865084361,AP5Z1,4.111028353,1
O43301,0.99196523,0.58540469,HSPA12A,0.04049399,
O43303,0.289501663,0.370070526,CCP110,2.351420777,
O43304,0.148703367,0.33860758,SEC14L5,0.043285967,
O43306,0.132652203,0.225256666,ADCY6,3.437728385,0
O43307,0.363149305,0.430316083,ARHGEF9,1.263406627,
O43309,0.158441327,0.195339005,ZSCAN12,1.602070366,0
O43310,0.439410821,0.552949108,CTIF,1.059219676,
O43314,0.296295021,0.743540232,PPIP5K2,1.470350233,1
O43323,0.135564739,0.134529933,DHH,0.079356022,0
O43324,0.999815571,0.845646629,EEF1E1,1.711728941,1
O43345,0.131031397,0.094243147,ZNF208,0.008588279,0
O43353,0.378222337,0.556465717,RIPK2,3.113998866,
O43361,0.235218958,0.631183061,ZNF749,2.407931889,
O43379,0.831167292,0.81704744,WDR62,3.062634861,1
O43390,0.999999999,0.99999998,HNRNPR,4.265672457,1
O43395,0.830645713,0.83829239,PRPF3,3.298726463,1
O43396,0.999999053,0.999999792,TXNL1,3.303936462,1
O43399,0.999999996,0.999999997,TPD52L2,4.442880862,1
O43405,0.710360964,0.584412594,COCH,0.295423277,
O43423,0.990214022,0.902867539,ANP32CP,0,1
O43424,0.494066606,0.399666668,GRID2,0.001115924,
O43426,0.636528198,0.582159004,SYNJ1,1.064906845,
O43432,0.285394407,0.960274091,EIF4G3,1.807196799,1
O43451,0.324152358,0.619395689,MGAM,0.0167661,
O43488,0.998085015,0.898775257,AKR7A2,4.234363504,1
O43490,0.545994295,0.632237368,PROM1,2.018520026,
O43491,0.705302743,0.892272515,EPB41L2,2.571297894,1
O43497,0.301564982,0.468370863,CACNA1G,0.236672115,
O43504,0.999999593,0.999989083,LAMTOR5,4.816386547,1
O43506,0.215784781,0.275806132,ADAM20,0.124754009,0
O43511,0.296123939,0.474925987,SLC26A4,0.040488639,
O43516,0.942391832,0.482105532,WIPF1,1.340862564,
O43520,0.513004596,0.708507064,ATP8B1,3.015309878,1
O43525,0.311633582,0.422193624,KCNQ3,0.051852108,
O43526,0.440835424,0.719501228,KCNQ2,0.045367611,1
O43529,0.420460154,0.117187397,CHST10,0.178555854,0
O43542,0.749205842,0.249138172,XRCC3,2.896130455,0
O43559,0.130503213,0.214685272,FRS3,1.943120188,0
O43566,0.959716644,0.731864846,RGS14,4.146206769,1
O43567,0.986247383,0.897260068,RNF13,1.283656707,1
O43572,0.247100513,0.447488744,AKAP10,1.532475179,
O43586,0.852511238,0.692273069,PSTPIP1,1.14982207,
O43592,0.142900488,0.965873246,XPOT,3.923442994,1
O43593,0.253125093,0.345400032,HR,4.002547209,
O43598,0.992279328,0.714283609,DNPH1,4.614041309,1
O43609,0.20519775,0.077478432,SPRY1,4.055145822,0
O43615,0.992453988,0.999989806,TIMM44,3.964525044,1
O43617,0.654090125,0.99984675,TRAPPC3,3.545701535,1
O43663,0.131797587,0.782808761,PRC1,3.328039374,1
O43665,0.999208685,0.856461904,RGS10,1.69904655,1
O43670,0.999974422,0.915128867,ZNF207,4.497559035,1
O43674,0.99930894,0.999853496,NDUFB5,3.473091699,1
O43678,0.99025301,0.857131555,NDUFA2,4.170702819,1
O43681,0.982427619,0.99985137,GET3,4.07212852,1
O43683,0.580084074,0.462082704,BUB1,2.632096928,
O43684,0.999909199,0.999656458,BUB3,4.227133447,1
O43687,0.225273547,0.142829304,AKAP7,0.298288009,0
O43692,0.415076469,0.126703068,PI15,0,0
O43704,0.737866815,0.277556768,SULT1B1,0.500526589,0
O43707,1,1,ACTN4,5.371314044,1
O43708,0.172392486,0.724339395,GSTZ1,2.595670441,1
O43709,0.360383715,0.15544104,BUD23,4.729796414,0
O43711,0.856895771,0.165488384,TLX3,0,0
O43715,0.996201114,0.426735442,TRIAP1,4.876951634,
O43716,0.996390905,0.570491606,GATC,3.357463881,
O43719,0.661142143,0.894499783,HTATSF1,4.454037509,1
O43734,0.220331235,0.501775696,TRAF3IP2,2.346821914,
O43736,0.6954415,0.126441134,ITM2A,2.640730119,0
O43739,0.130869414,0.449409654,CYTH3,1.141904992,
O43747,0.772033786,0.99918284,AP1G1,3.32119767,1
O43752,0.999982826,0.993998831,STX6,2.121813154,1
O43760,0.994812866,0.999997742,SYNGR2,6.973395607,1
O43765,0.99999999,0.999907374,SGTA,3.638101752,1
O43766,0.838249927,0.428761284,LIAS,1.765504975,
O43772,0.99917564,0.85708305,SLC25A20,1.553034211,1
O43776,0.999988002,0.999449398,NARS1,5.160054139,1
O43781,0.229463243,0.283184551,DYRK3,0.451771785,0
O43790,0.978882884,0.82505408,KRT86,0.075719948,1
O43791,0.45371857,0.453188823,SPOP,1.948187549,
O43795,0.681354029,0.817155983,MYO1B,1.261035847,1
O43805,0.999976171,0.491592238,SSNA1,6.041090714,
O43809,0.999999929,0.999987962,NUDT21,4.093589029,1
O43813,0.999952657,0.973411365,LANCL1,2.003894046,1
O43815,0.991657047,0.920072986,STRN,1.816148552,1
O43818,0.373438488,0.799967915,RRP9,4.273904356,1
O43823,0.378084459,0.798012119,AKAP8,3.814968698,1
O43824,0.135186425,0.322153041,GTPBP6,3.897077955,
O43837,0.970600466,0.957151012,IDH3B,5.635816545,1
O43847,0.760581953,0.853147412,NRDC,3.323628161,1
O43852,0.99999999,0.999999998,CALU,4.147468176,1
O43854,0.268592611,0.162486589,EDIL3,0.00302335,0
O43861,0.895368002,0.464092685,ATP9B,0.99091381,
O43865,0.202273158,0.764261518,AHCYL1,3.942399858,1
O43866,0.416695606,0.510983486,CD5L,0.019780585,
O43868,0.268934622,0.336948379,SLC28A2,0.075843999,
O43889,0.138618527,0.078314755,CREB3,4.461253749,0
O43895,0.206060601,0.341165097,XPNPEP2,0.171377359,
O43896,0.798712282,0.733400326,KIF1C,4.135894551,1
O43897,0.157326655,0.691652305,TLL1,0.001453603,
O43900,0.16035261,0.301026101,PRICKLE3,3.178238114,
O43903,0.920957394,0.53827242,GAS2,0.146578089,
O43909,0.160850383,0.343732927,EXTL3,1.837250703,
O43913,0.797726654,0.59418043,ORC5,1.753571639,
O43914,0.914349739,0.929463306,TYROBP,5.558508901,1
O43915,0.137987262,0.093543669,VEGFD,0.058886159,0
O43916,0.470419658,0.17015856,CHST1,0.247903219,0
O43929,0.337457526,0.480437673,ORC4,0.966967581,
O43933,0.593392356,0.558880217,PEX1,3.244722943,
O60216,0.137565612,0.987095484,RAD21,4.376278686,1
O60218,0.956490169,0.768631132,AKR1B10,2.819390019,1
O60220,0.999995965,0.713965526,TIMM8A,4.050738006,1
O60229,0.847568659,0.952576368,KALRN,0.888859588,1
O60231,0.954343128,0.864795719,DHX16,0,1
O60232,0.563163806,0.864931246,ZNRD2,3.978774747,1
O60234,1,0.850633228,GMFG,2.389567343,1
O60237,0.936641359,0.806448673,PPP1R12B,1.387193472,1
O60240,0.151183428,0.343591588,PLIN1,0.23744492,
O60241,0.689077316,0.388513892,ADGRB2,0.735369325,
O60242,0.195101967,0.428597996,ADGRB3,0,
O60244,0.256972854,0.372242111,MED14,2.867881565,
O60248,0.94309885,0.47724604,SOX15,1.013585025,
O60256,0.99624104,0.99978229,PRPSAP2,1.245479397,1
O60260,0.694395025,0.598159362,PRKN,0.001947431,
O60264,0.998169159,0.952487399,SMARCA5,3.098458985,1
O60266,0.154052296,0.701611956,ADCY3,2.658748649,1
O60268,0.38925402,0.201446177,KIAA0513,1.252914116,0
O60269,0.53980341,0.354735175,GPRIN2,0.35646101,
O60271,0.995199708,0.996992056,SPAG9,2.401132701,1
O60279,0.728691536,0.417104226,SUSD5,0,
O60281,0.21285166,0.625734356,ZNF292,2.44485486,
O60282,0.939213907,0.945611053,KIF5C,0.011037066,1
