gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,2,1,1,skipconcat,299,True,0.6425,0.0368,251.0,0.3265,0.0048,0.6883,0.1497,0.6538,0.1388,0.8647,0.0949,0.7252,0.069,0.852,0.0078
0.0,2,1,1,skipsum,99,True,0.7079,0.0343,251.0,0.3302,0.0026,0.7817,0.0454,0.7605,0.108,0.7965,0.0904,0.7654,0.0174,0.8794,0.0185
0.0,2,1,1,skipsum,199,True,0.6711,0.0515,251.0,0.3272,0.0035,0.6906,0.1398,0.6455,0.1324,0.8678,0.0671,0.7256,0.0712,0.8479,0.0451
0.0,2,1,1,skipsum,299,True,0.6336,0.0618,251.0,0.3283,0.0023,0.8046,0.0112,0.7888,0.0164,0.7639,0.0578,0.7744,0.0222,0.8352,0.0503
0.0,2,1,1,stack,99,True,0.7179,0.0369,251.0,0.3285,0.0043,0.6672,0.1599,0.6447,0.1437,0.84,0.1157,0.7062,0.068,0.8513,0.0141
0.0,2,1,1,stack,199,True,0.6684,0.0333,251.0,0.3348,0.0016,0.689,0.1543,0.663,0.1471,0.8529,0.1032,0.724,0.0699,0.8512,0.0207
0.0,2,1,1,stack,299,True,0.6425,0.0368,251.0,0.3379,0.0069,0.6883,0.1497,0.6538,0.1388,0.8647,0.0949,0.7252,0.069,0.852,0.0078
0.0,2,1,2,skipconcat,99,True,0.6832,0.0351,361.0,0.3321,0.0033,0.7197,0.1072,0.6715,0.1172,0.858,0.0871,0.7391,0.0506,0.7866,0.0725
0.0,2,1,2,skipconcat,199,True,0.6177,0.0117,361.0,0.3353,0.0014,0.7983,0.0024,0.7612,0.0066,0.7922,0.0053,0.7763,0.0009,0.8644,0.0085
0.0,2,1,2,skipconcat,299,True,0.5926,0.011,361.0,0.3303,0.0037,0.7995,0.0017,0.7614,0.0091,0.7961,0.0122,0.7782,0.0012,0.8629,0.0119
0.0,2,1,2,skipsum,99,True,0.6901,0.0505,361.0,0.3299,0.003,0.6935,0.1578,0.6726,0.155,0.8514,0.1106,0.7272,0.0738,0.8675,0.0295
0.0,2,1,2,skipsum,199,True,0.5942,0.0114,361.0,0.331,0.0036,0.8328,0.0021,0.8261,0.0155,0.7883,0.0171,0.8064,0.0014,0.8951,0.0071
0.0,2,1,2,skipsum,299,True,0.5549,0.0092,361.0,0.3293,0.0045,0.8325,0.0024,0.8129,0.0085,0.8067,0.0071,0.8097,0.0013,0.904,0.0024
0.0,2,1,2,stack,99,True,0.6832,0.0351,361.0,0.3286,0.0004,0.7197,0.1072,0.6715,0.1172,0.858,0.0871,0.7391,0.0506,0.7866,0.0725
0.0,2,1,2,stack,199,True,0.6177,0.0117,361.0,0.3302,0.0018,0.7983,0.0024,0.7612,0.0066,0.7922,0.0053,0.7763,0.0009,0.8644,0.0085
0.0,2,1,2,stack,299,True,0.5926,0.011,361.0,0.3313,0.0015,0.7995,0.0017,0.7614,0.0091,0.7961,0.0122,0.7782,0.0012,0.8629,0.0119
0.0,2,2,1,skipconcat,99,True,0.6666,0.0114,461.0,0.5279,0.0037,0.7893,0.0041,0.7464,0.0147,0.7937,0.0173,0.769,0.001,0.8587,0.0093
0.0,2,2,1,skipconcat,199,True,0.6075,0.0101,461.0,0.5355,0.0048,0.7945,0.0068,0.7672,0.0236,0.7725,0.0598,0.7676,0.0199,0.8657,0.009
0.0,2,2,1,skipconcat,299,True,0.5773,0.0108,461.0,0.5309,0.0009,0.8011,0.0058,0.7583,0.0055,0.8071,0.0091,0.7819,0.0068,0.872,0.0078
0.0,2,2,1,skipsum,99,True,0.6709,0.0311,361.0,0.5306,0.0043,0.7703,0.0399,0.7118,0.0379,0.8059,0.0678,0.7552,0.0467,0.867,0.0432
0.0,2,2,1,skipsum,199,True,0.6301,0.048,361.0,0.5307,0.0018,0.7884,0.0359,0.756,0.0149,0.7667,0.0925,0.7592,0.0547,0.8725,0.0436
0.0,2,2,1,skipsum,299,True,0.5999,0.0624,361.0,0.5367,0.0047,0.7971,0.0268,0.747,0.0244,0.8169,0.0395,0.7803,0.031,0.8872,0.0248
0.0,2,2,1,stack,99,True,0.6739,0.0096,361.0,0.5301,0.0022,0.751,0.0225,0.6774,0.0173,0.8326,0.0497,0.7466,0.0281,0.8302,0.0273
0.0,2,2,1,stack,199,True,0.6256,0.0202,361.0,0.5301,0.0043,0.7765,0.0221,0.7297,0.0205,0.7843,0.0325,0.756,0.026,0.841,0.0182
0.0,2,2,1,stack,299,True,0.5934,0.0163,361.0,0.5334,0.0025,0.7857,0.0152,0.7319,0.0205,0.8137,0.0061,0.7705,0.0136,0.8598,0.0048
0.0,2,2,2,skipconcat,99,True,0.6435,0.0148,571.0,0.5339,0.0036,0.7924,0.0039,0.7471,0.0093,0.802,0.0105,0.7734,0.0032,0.8504,0.0083
0.0,2,2,2,skipconcat,199,True,0.5971,0.01,571.0,0.5361,0.0018,0.7996,0.0078,0.7542,0.0091,0.8106,0.0113,0.7813,0.0087,0.874,0.0056
0.0,2,2,2,skipconcat,299,True,0.5651,0.0064,571.0,0.5337,0.0048,0.8049,0.006,0.7647,0.011,0.8071,0.0075,0.7852,0.0053,0.882,0.0033
0.0,2,2,2,skipsum,99,True,0.6561,0.0032,471.0,0.5298,0.0022,0.8184,0.0124,0.844,0.0327,0.7282,0.0724,0.7781,0.0291,0.894,0.0134
0.0,2,2,2,skipsum,199,True,0.601,0.0071,471.0,0.5385,0.0033,0.8299,0.0053,0.8138,0.0034,0.7973,0.0103,0.8054,0.0069,0.8991,0.009
0.0,2,2,2,skipsum,299,True,0.5669,0.0133,471.0,0.5357,0.0032,0.8307,0.004,0.8149,0.017,0.7996,0.0279,0.8066,0.0075,0.9012,0.0086
0.0,2,2,2,stack,99,True,0.722,0.0299,471.0,0.5349,0.005,0.6502,0.1305,0.6126,0.1133,0.8333,0.1183,0.6878,0.0462,0.7126,0.1362
0.0,2,2,2,stack,199,True,0.6803,0.0628,471.0,0.5357,0.0064,0.6691,0.1458,0.6288,0.1292,0.867,0.0932,0.7117,0.0659,0.7251,0.1452
0.0,2,2,2,stack,299,True,0.6538,0.0776,471.0,0.5346,0.0016,0.6848,0.155,0.6479,0.1382,0.8741,0.0882,0.7258,0.0728,0.7444,0.1578
0.0,2,3,1,skipconcat,99,True,0.6574,0.0246,771.0,0.7312,0.0114,0.782,0.0062,0.7591,0.0311,0.7498,0.0691,0.7511,0.0224,0.8436,0.0088
0.0,2,3,1,skipconcat,199,True,0.6327,0.0403,771.0,0.7396,0.0043,0.7819,0.0193,0.8094,0.079,0.6941,0.1458,0.7292,0.0645,0.858,0.0101
0.0,2,3,1,skipconcat,299,True,0.6024,0.0373,771.0,0.7306,0.0106,0.7987,0.0073,0.781,0.0323,0.7639,0.0727,0.7687,0.0242,0.8599,0.0086
0.0,2,3,1,skipsum,99,True,0.6972,0.0278,471.0,0.734,0.008,0.767,0.0235,0.7583,0.0612,0.7247,0.1516,0.7251,0.0642,0.8401,0.0139
0.0,2,3,1,skipsum,199,True,0.6444,0.0436,471.0,0.7342,0.005,0.7826,0.0149,0.7362,0.0238,0.7933,0.0224,0.7633,0.0144,0.8588,0.013
0.0,2,3,1,skipsum,299,True,0.6104,0.045,471.0,0.7425,0.006,0.7886,0.0125,0.7702,0.0266,0.747,0.0457,0.757,0.0186,0.8667,0.0174
0.0,2,3,1,stack,99,True,0.664,0.0016,471.0,0.7401,0.0021,0.7576,0.009,0.7223,0.0305,0.7416,0.0627,0.729,0.0196,0.8283,0.0124
0.0,2,3,1,stack,199,True,0.625,0.0053,471.0,0.7331,0.0024,0.7706,0.0084,0.7176,0.0045,0.7926,0.0202,0.7532,0.0116,0.8294,0.0085
0.0,2,3,1,stack,299,True,0.5977,0.0018,471.0,0.7423,0.0065,0.7816,0.0025,0.7352,0.0093,0.791,0.0292,0.7616,0.0088,0.8384,0.0047
0.0,2,3,2,skipconcat,99,True,0.6559,0.0226,881.0,0.7385,0.0072,0.7828,0.0136,0.7661,0.0322,0.74,0.0827,0.7484,0.0326,0.8368,0.0395
0.0,2,3,2,skipconcat,199,True,0.601,0.0103,881.0,0.7344,0.0047,0.7997,0.0059,0.7573,0.0185,0.8063,0.0193,0.7806,0.0014,0.855,0.0205
0.0,2,3,2,skipconcat,299,True,0.5709,0.0098,881.0,0.7394,0.0045,0.8056,0.0026,0.7603,0.0076,0.818,0.0082,0.788,0.0015,0.8669,0.0194
0.0,2,3,2,skipsum,99,True,0.6646,0.0158,581.0,0.7561,0.0013,0.8127,0.0136,0.7999,0.016,0.7698,0.0514,0.7833,0.0233,0.8882,0.014
0.0,2,3,2,skipsum,199,True,0.6032,0.0029,581.0,0.7347,0.0102,0.8295,0.0045,0.8105,0.0196,0.8031,0.0211,0.8063,0.0029,0.9012,0.0018
0.0,2,3,2,skipsum,299,True,0.5643,0.0031,581.0,0.7385,0.0082,0.8366,0.0041,0.8237,0.0165,0.8027,0.0151,0.8128,0.0029,0.9024,0.0027
0.0,2,3,2,stack,99,True,0.668,0.0061,581.0,0.7418,0.0078,0.7642,0.0126,0.721,0.0272,0.7655,0.0392,0.7413,0.0131,0.8184,0.0097
0.0,2,3,2,stack,199,True,0.6243,0.0055,581.0,0.7436,0.0044,0.7798,0.003,0.7422,0.012,0.7694,0.0185,0.7553,0.0039,0.8288,0.0046
0.0,2,3,2,stack,299,True,0.5962,0.0054,581.0,0.7368,0.0028,0.781,0.0032,0.7293,0.0095,0.8028,0.0161,0.7641,0.0037,0.8467,0.0019
0.3,1,1,1,skipconcat,99,True,0.6834,0.0168,141.0,0.3279,0.0023,0.7328,0.0289,0.719,0.0574,0.6706,0.0856,0.6874,0.0382,0.7968,0.0303
0.3,1,1,1,skipconcat,199,True,0.6484,0.0197,141.0,0.3318,0.0085,0.7599,0.0313,0.7128,0.0476,0.7749,0.0125,0.7413,0.0218,0.8077,0.0268
